"order","file","name","meaning","type","unicode","source"
"1","001_微笑.png","/微笑","微笑，礼貌、友好","wx-classic","🙂","web"
"2","002_撇嘴.png","/撇嘴","撇嘴，不满、委屈","wx-classic","😟","web"
"3","003_色.png","/色","花痴，喜欢、爱慕","wx-classic","😍","web"
"4","004_发呆.png","/发呆","发呆，懵、走神","wx-classic","😦","web"
"5","005_得意.png","/得意","得意，酷、自信","wx-classic","😎","web"
"6","006_流泪.png","/流泪","流泪，大哭、悲伤","wx-classic","😭","web"
"7","007_害羞.png","/害羞","害羞微笑，友好、腼腆","wx-classic","😊","web"
"8","008_闭嘴.png","/闭嘴","闭嘴，保密、安静","wx-classic","🤐","web"
"9","009_睡.png","/睡","睡觉，困了","wx-classic","😪","web"
"10","010_大哭.png","/大哭","大哭，伤心","wx-classic","😢","web"
"11","011_尴尬.png","/尴尬","尴尬，场面尴尬","wx-classic","","web"
"12","012_发怒.png","/发怒","发怒，愤怒、火大","wx-classic","😡","web"
"13","013_调皮.png","/调皮","调皮，吐舌玩闹","wx-classic","😛","web"
"14","014_呲牙.png","/呲牙","呲牙，咧嘴笑、高兴","wx-classic","😁","web"
"15","015_惊讶.png","/惊讶","惊讶，震惊","wx-classic","😲","web"
"16","016_难过.png","/难过","难过，不开心","wx-classic","🙁","web"
"17","017_囧.png","/囧","囧，尴尬、无奈（微信经典表情）","wx-classic","","web"
"18","018_抓狂.png","/抓狂","抓狂，崩溃","wx-classic","😫","web"
"19","019_吐.png","/吐","吐，呕吐、恶心","wx-classic","🤮","web"
"20","020_偷笑.png","/偷笑","偷笑，捂嘴笑、憋笑","wx-classic","🤭","web"
"21","021_愉快.png","/愉快","愉快，开心、心情好","wx-classic","","web"
"22","022_白眼.png","/白眼","白眼（新版），无语、嫌弃","wx-classic","🙄","web"
"23","023_傲慢.png","/傲慢","困惑，不太高兴、别扭","wx-classic","😕","web"
"24","024_困.png","/困","困（新版），犯困","wx-classic","😪","web"
"25","025_惊恐.png","/惊恐","惊恐，害怕","wx-classic","😨","web"
"26","026_憨笑.png","/憨笑","憨笑，开心大笑","wx-classic","😀","web"
"27","027_悠闲.png","/悠闲","悠闲，抽烟、惬意","wx-classic","🚬","web"
"28","028_咒骂.png","/咒骂","咒骂，骂人、爆粗","wx-classic","🤬","web"
"29","029_疑问.png","/疑问","疑问，疑惑、问号脸","wx-classic","","web"
"30","030_嘘.png","/嘘","嘘，安静、保密","wx-classic","🤫","web"
"31","031_晕.png","/晕","晕，头晕、晕倒","wx-classic","😵","web"
"32","032_衰.png","/衰","衰，倒霉、想哭","wx-classic","😢","web"
"33","033_骷髅.png","/骷髅","骷髅，笑死、无语、吓人","wx-classic","💀","web"
"34","034_敲打.png","/敲打","敲打，受伤、挨打","wx-classic","🤕","web"
"35","035_再见.png","/再见","挥手再见、告别","wx-classic","👋","web"
"36","036_擦汗.png","/擦汗","擦汗，尴尬、紧张","wx-classic","","web"
"37","037_抠鼻.png","/抠鼻","抠鼻，不屑、无语","wx-classic","","web"
"38","038_鼓掌.png","/鼓掌","鼓掌，欢迎、喝彩","wx-classic","👏","web"
"39","039_坏笑.png","/坏笑","坏笑，龇牙、尴尬","wx-classic","😬","web"
"40","040_右哼哼.png","/右哼哼","右哼哼，不服气","wx-classic","😤","web"
"41","041_鄙视.png","/鄙视","鄙视，看不起、嫌弃","wx-classic","","web"
"42","042_委屈.png","/委屈","委屈（新版），难过","wx-classic","🙁","web"
"43","043_快哭了.png","/快哭了","快哭了，委屈、难过","wx-classic","😥","web"
"44","044_阴险.png","/阴险","阴险，坏笑、算计","wx-classic","😏","web"
"45","045_亲亲.png","/亲亲","亲亲","wx-classic","😚","web"
"46","046_可怜.png","/可怜","可怜巴巴，求人、委屈","wx-classic","🥺","web"
"47","047_笑脸.png","/笑脸","笑脸，开心","wx-2021","😄","mp"
"48","048_生病.png","/生病","生病，感冒、不舒服","wx-2021","😷","mp"
"49","049_脸红.png","/脸红","脸红，害羞","wx-2021","😳","mp"
"50","050_破涕为笑.png","/破涕为笑","破涕为笑，笑哭、笑得流泪","wx-2021","😂","mp"
"51","051_恐惧.png","/恐惧","恐惧（新版），害怕","wx-2021","😱","mp"
"52","052_失望.png","/失望","失望，低落","wx-2021","😔","mp"
"53","053_无语.png","/无语","无语，嫌弃","wx-2021","😒","mp"
"54","054_嘿哈.png","/嘿哈","嘿哈，开心打招呼","wx-2021","","mp"
"55","055_捂脸.png","/捂脸","捂脸，无语、尴尬、哭笑不得","wx-2021","","mp"
"56","056_奸笑.png","/奸笑","奸笑，阴险得意、坏笑","wx-2021","","mp"
"57","057_机智.png","/机智","机智，聪明、机灵","wx-2021","","mp"
"58","058_皱眉.png","/皱眉","皱眉（新版），可怜、难过","wx-2021","🥺","mp"
"59","059_耶.png","/耶","耶（新版），胜利、开心","wx-2021","✌","mp"
